"V1","V2","V3"
0.08,0.84,6.666096
0.08,0.88,7.306965
0.08,0.92,5.73684
0.08,0.96,3.625628
0.12,0,3
0.12,0.04,16.66549
0.12,0.08,30.1086
0.12,0.12,39.96952
0.12,0.16,44.12225
0.12,0.2,59.57512
0.12,0.24,77.56929
0.12,0.28,106.8925
0.12,0.32,166.5539
0.12,0.36,175.2381
0.12,0.4,185.2815
0.12,0.44,154.5056
0.12,0.48,83.0433
0.12,0.52,62.61732
0.12,0.56,62.33167
0.12,0.6,60.55916
0.12,0.64,55.92124
0.12,0.68,15.17284
0.12,0.72,8.248324
0.12,0.76,36.68087
0.12,0.8,61.93413
0.12,0.84,20.26867
0.12,0.88,68.58819
0.12,0.92,46.49812
0.12,0.96,0.2360095
0.16,0,4
0.16,0.04,8.815617
0.16,0.08,18.3516
0.16,0.12,8.658275
0.16,0.16,27.5859
0.16,0.2,48.62691
0.16,0.24,60.18013
0.16,0.28,91.3286
0.16,0.32,145.7109
0.16,0.36,116.0653
0.16,0.4,106.2662
0.16,0.44,68.69447
0.16,0.48,53.10596
0.16,0.52,37.92797
0.16,0.56,47.95942
0.16,0.6,47.42691
0.16,0.64,69.20731
0.16,0.68,44.95468
0.16,0.72,29.17197
0.16,0.76,17.91674
0.16,0.8,16.25515
0.16,0.84,14.65559
0.16,0.88,17.26048
0.16,0.92,31.22245
0.16,0.96,46.71704
0.2,0,5
0.2,0.04,6.628881
0.2,0.08,10.41339
0.2,0.12,24.81939
0.2,0.16,26.08952
0.2,0.2,30.1605
0.2,0.24,52.30802
0.2,0.28,64.71007
0.2,0.32,76.30823
0.2,0.36,84.63686
0.2,0.4,99.4324
0.2,0.44,62.52132
0.2,0.48,46.81647
0.2,0.52,55.76606
0.2,0.56,82.4099
0.2,0.6,140.2647
0.2,0.64,81.26501
0.2,0.68,56.45756
0.2,0.72,30.42164
0.2,0.76,17.28782
0.2,0.8,8.302431
0.2,0.84,2.981626
0.2,0.88,2.698536
0.2,0.92,5.886086
0.2,0.96,5.268358
0.24,0,6
0.24,0.04,21.83975
0.24,0.08,6.63927
0.24,0.12,18.97085
0.24,0.16,32.89204
0.24,0.2,43.15014
0.24,0.24,62.86014
0.24,0.28,104.6657
0.24,0.32,130.2294
0.24,0.36,114.8494
0.24,0.4,106.9873
0.24,0.44,61.89647
0.24,0.48,55.55682
0.24,0.52,86.80986
0.24,0.56,89.27802
0.24,0.6,122.4221
0.24,0.64,123.9698
0.24,0.68,109.0952
0.24,0.72,98.41956
0.24,0.76,77.61374
0.24,0.8,32.49031
0.24,0.84,14.67344
0.24,0.88,7.370775
0.24,0.92,0.03711011
0.24,0.96,0.6423392
0.28,0,7
0.28,0.04,53.34303
0.28,0.08,26.79797
0.28,0.12,6.63927
0.28,0.16,10.88787
0.28,0.2,17.2044
0.28,0.24,56.18116
0.28,0.28,79.70141
0.28,0.32,90.8453
0.28,0.36,98.27675
0.28,0.4,80.87243
0.28,0.44,74.7931
0.28,0.48,75.54661
0.28,0.52,73.4373
0.28,0.56,74.11694
0.28,0.6,68.1749
0.28,0.64,46.24076
0.28,0.68,39.93857
0.28,0.72,31.21653
0.28,0.76,36.88335
0.28,0.8,40.02525
0.28,0.84,117.4297
0.28,0.88,12.70328
0.28,0.92,1.729771
0.28,0.96,0
0.32,0,8
0.32,0.04,25.66785
0.32,0.08,63.05717
0.32,0.12,22.1414
0.32,0.16,17.074
0.32,0.2,41.74483
0.32,0.24,60.27227
0.32,0.28,81.42432
0.32,0.32,114.444
0.32,0.36,102.3234
0.32,0.4,101.7878
0.32,0.44,111.031
0.32,0.48,119.2309
0.32,0.52,114.0777
0.32,0.56,110.5296
0.32,0.6,59.19355
0.32,0.64,42.47175
0.32,0.68,14.63598
0.32,0.72,6.944074
0.32,0.76,6.944075
0.32,0.8,27.74936
0.32,0.84,0
0.32,0.88,0
0.32,0.92,0.09449376
0.32,0.96,0.07732264
0.36,0,9
0.36,0.04,12.827
0.36,0.08,69.20554
0.36,0.12,46.76293
0.36,0.16,13.96517
0.36,0.2,33.88744
0.36,0.24,61.82613
0.36,0.28,84.74799
0.36,0.32,121.122
0.36,0.36,145.2741
0.36,0.4,153.1797
0.36,0.44,204.786
0.36,0.48,227.9242
0.36,0.52,236.3038
0.36,0.56,228.3655
0.36,0.6,79.34425
0.36,0.64,25.93483
0.36,0.68,6.944074
0.36,0.72,6.944074
0.36,0.76,6.944075
0.36,0.8,7.553681
0.36,0.84,0
0.36,0.88,0
0.36,0.92,0
0.36,0.96,0
0.4,0,10
0.4,0.04,0
0.4,0.08,68.66396
0.4,0.12,59.0435
0.4,0.16,33.35762
0.4,0.2,47.45282
0.4,0.24,57.8355
0.4,0.28,78.91689
0.4,0.32,107.8275
0.4,0.36,168.0053
0.4,0.4,130.9597
0.4,0.44,212.5541
0.4,0.48,165.8122
0.4,0.52,210.2429
0.4,0.56,181.1713
0.4,0.6,189.7617
0.4,0.64,137.3378
0.4,0.68,84.65395
0.4,0.72,8.677168
0.4,0.76,6.956576
0.4,0.8,8.468093
0.4,0.84,0
0.4,0.88,0
0.4,0.92,0
0.4,0.96,0
0.44,0,11
0.44,0.04,0
0.44,0.08,95.17499
0.44,0.12,80.03818
0.44,0.16,59.89862
0.44,0.2,39.58476
0.44,0.24,50.28058
0.44,0.28,63.81641
0.44,0.32,80.61302
0.44,0.36,66.37824
0.44,0.4,198.7651
0.44,0.44,244.3467
0.44,0.48,294.2474
0.44,0.52,264.3517
0.44,0.56,176.4082
0.44,0.6,60.21857
0.44,0.64,77.41475
0.44,0.68,53.16981
0.44,0.72,56.16393
0.44,0.76,6.949235
0.44,0.8,7.531059
0.44,0.84,3.780177
0.44,0.88,0
0.44,0.92,0
0.44,0.96,0
0.48,0,12
0.48,0.04,0
0.48,0.08,134.9879
0.48,0.12,130.3696
0.48,0.16,96.86325
0.48,0.2,75.70494
0.48,0.24,58.86466
0.48,0.28,57.20374
0.48,0.32,55.18837
0.48,0.36,78.128
0.48,0.4,108.5582
0.48,0.44,154.3774
0.48,0.48,319.1686
0.48,0.52,372.8826
0.48,0.56,275.4655
0.48,0.6,130.2632
0.48,0.64,54.93822
0.48,0.68,25.49719
0.48,0.72,8.047439
0.48,0.76,8.084393
0.48,0.8,5.115252
0.48,0.84,5.678269
0.48,0.88,0
0.48,0.92,0
0.48,0.96,0
0.52,0,13
0.52,0.04,0
0.52,0.08,48.08919
0.52,0.12,142.5558
0.52,0.16,140.3777
0.52,0.2,154.7261
0.52,0.24,87.9361
0.52,0.28,58.11092
0.52,0.32,52.83869
0.52,0.36,67.14822
0.52,0.4,83.66798
0.52,0.44,118.9242
0.52,0.48,150.0681
0.52,0.52,272.9709
0.52,0.56,341.1366
0.52,0.6,238.664
0.52,0.64,190.2
0.52,0.68,116.8943
0.52,0.72,91.48672
0.52,0.76,14.0157
0.52,0.8,42.29277
0.52,0.84,5.115252
0.52,0.88,0
0.52,0.92,0
0.52,0.96,0
0.56,0,14
0.56,0.04,0
0.56,0.08,54.1941
0.56,0.12,146.3839
0.56,0.16,99.48143
0.56,0.2,96.19411
0.56,0.24,102.9473
0.56,0.28,76.14089
0.56,0.32,57.7844
0.56,0.36,47.0402
0.56,0.4,64.36799
0.56,0.44,84.23767
0.56,0.48,162.7181
0.56,0.52,121.3275
0.56,0.56,213.1646
0.56,0.6,328.482
0.56,0.64,285.4489
0.56,0.68,283.8319
0.56,0.72,212.815
0.56,0.76,164.549
0.56,0.8,92.29631
0.56,0.84,7.244015
0.56,0.88,1.167
0.56,0.92,0
0.56,0.96,0
0.6,0,15
0.6,0.04,0
0.6,0.08,6.919659
0.6,0.12,195.1709
0.6,0.16,132.5253
0.6,0.2,135.2341
0.6,0.24,89.85069
0.6,0.28,89.45549
0.6,0.32,60.29967
0.6,0.36,50.33806
0.6,0.4,39.17583
0.6,0.44,59.06854
0.6,0.48,74.52159
0.6,0.52,84.93402
0.6,0.56,187.1219
0.6,0.6,123.9673
0.6,0.64,103.7027
0.6,0.68,128.986
0.6,0.72,165.1283
0.6,0.76,249.7054
0.6,0.8,95.39966
0.6,0.84,10.00284
0.6,0.88,2.39255
0.6,0.92,0
0.6,0.96,0
0.64,0,16
0.64,0.04,0
0.64,0.08,21.73871
0.64,0.12,123.1339
0.64,0.16,176.7414
0.64,0.2,158.2698
0.64,0.24,137.235
0.64,0.28,105.3089
0.64,0.32,86.63255
0.64,0.36,53.11591
0.64,0.4,29.03865
0.64,0.44,30.40539
0.64,0.48,39.04902
0.64,0.52,49.23405
0.64,0.56,63.27853
0.64,0.6,111.4215
0.64,0.64,101.1956
0.64,0.68,40.00962
0.64,0.72,59.84565
0.64,0.76,74.51253
0.64,0.8,17.06316
0.64,0.84,2.435141
0.64,0.88,2.287471
0.64,0.92,-0.0003636982
0.64,0.96,0
0.68,0,17
0.68,0.04,0
0.68,0.08,0
0.68,0.12,62.04672
0.68,0.16,136.3122
0.68,0.2,201.7952
0.68,0.24,168.1343
0.68,0.28,95.2046
0.68,0.32,58.90624
0.68,0.36,46.94091
0.68,0.4,49.27053
0.68,0.44,37.10416
0.68,0.48,17.97011
0.68,0.52,30.93697
0.68,0.56,33.39257
0.68,0.6,44.03077
0.68,0.64,55.64542
0.68,0.68,78.22423
0.68,0.72,14.42782
0.68,0.76,9.954997
0.68,0.8,7.768213
0.68,0.84,13.0254
0.68,0.88,21.73166
0.68,0.92,2.156372
0.68,0.96,0.5317867
0.72,0,18
0.72,0.04,0
0.72,0.08,0
0.72,0.12,79.62993
0.72,0.16,139.6978
0.72,0.2,173.167
0.72,0.24,192.8718
0.72,0.28,196.3499
0.72,0.32,144.6611
0.72,0.36,106.5424
0.72,0.4,57.16653
0.72,0.44,41.16107
0.72,0.48,32.12764
0.72,0.52,13.8566
0.72,0.56,10.91772
0.72,0.6,12.07177
0.72,0.64,22.38254
0.72,0.68,24.72105
0.72,0.72,6.803666
0.72,0.76,4.200841
0.72,0.8,16.46857
0.72,0.84,15.70744
0.72,0.88,33.96221
0.72,0.92,7.575688
0.72,0.96,-0.04880907
0.76,0,19
0.76,0.04,0
0.76,0.08,0
0.76,0.12,33.2664
0.76,0.16,57.53643
0.76,0.2,167.2241
0.76,0.24,196.4833
0.76,0.28,194.7966
0.76,0.32,182.1884
0.76,0.36,119.6961
0.76,0.4,73.02113
0.76,0.44,48.36549
0.76,0.48,33.74652
0.76,0.52,26.2379
0.76,0.56,16.3578
0.76,0.6,6.811293
0.76,0.64,6.63927
0.76,0.68,6.639271
0.76,0.72,8.468093
0.76,0.76,6.194273
0.76,0.8,3.591233
0.76,0.84,3.81486
0.76,0.88,8.600739
0.76,0.92,5.21889
0.76,0.96,0
0.8,0,20
0.8,0.04,0
0.8,0.08,0
0.8,0.12,29.77937
0.8,0.16,54.97282
0.8,0.2,144.7995
0.8,0.24,207.4904
0.8,0.28,165.3432
0.8,0.32,171.4047
0.8,0.36,174.9216
0.8,0.4,100.2733
0.8,0.44,61.46441
0.8,0.48,50.19171
0.8,0.52,26.08209
0.8,0.56,17.18218
0.8,0.6,8.468093
0.8,0.64,6.63927
0.8,0.68,6.334467
0.8,0.72,6.334467
0.8,0.76,5.666687
0.8,0.8,4.272203
0.8,0.84,0
0.8,0.88,0
0.8,0.92,0
0.8,0.96,0
0.84,0,21
0.84,0.04,0
0.84,0.08,0
0.84,0.12,31.409
0.84,0.16,132.7418
0.84,0.2,185.5796
0.84,0.24,121.8299
0.84,0.28,185.3841
0.84,0.32,160.6566
0.84,0.36,116.1478
0.84,0.4,118.1078
0.84,0.44,141.7946
0.84,0.48,65.56351
0.84,0.52,48.84066
0.84,0.56,23.13864
0.84,0.6,18.12932
0.84,0.64,10.28531
0.84,0.68,6.029663
0.84,0.72,6.044627
0.84,0.76,5.694764
0.84,0.8,3.739085
0.84,0.84,3.896037
0.84,0.88,0
0.84,0.92,0
0.84,0.96,0
0.88,0,22
0.88,0.04,0
0.88,0.08,0
0.88,0.12,19.58994
0.88,0.16,42.30355
0.88,0.2,96.26777
0.88,0.24,187.1207
0.88,0.28,179.6626
0.88,0.32,221.3898
0.88,0.36,154.2617
0.88,0.4,142.1604
0.88,0.44,148.5737
0.88,0.48,67.17937
0.88,0.52,40.69044
0.88,0.56,39.74512
0.88,0.6,26.10166
0.88,0.64,14.48469
0.88,0.68,8.65873
0.88,0.72,3.896037
0.88,0.76,3.571392
0.88,0.8,3.896037
0.88,0.84,3.896037
0.88,0.88,3.896037
0.88,0.92,1.077756
0.88,0.96,0
0.92,0,23
0.92,0.04,0.001229679
0.92,0.08,3.008948
0.92,0.12,5.909858
0.92,0.16,33.50574
0.92,0.2,104.3341
0.92,0.24,152.2165
0.92,0.28,198.1988
0.92,0.32,191.841
0.92,0.36,228.7349
0.92,0.4,168.1041
0.92,0.44,144.2759
0.92,0.48,110.7436
0.92,0.52,57.65214
0.92,0.56,42.63504
0.92,0.6,27.91891
0.92,0.64,15.41052
0.92,0.68,8.056102
0.92,0.72,3.90283
0.92,0.76,3.879774
0.92,0.8,3.936718
0.92,0.84,3.968634
0.92,0.88,0.1236256
0.92,0.92,3.985531
0.92,0.96,-0.1835741
0.746340153738856,0.729460526257753,0.0108218464367553
0.729831081349403,0.631901705404744,5.15477208671792
0.782411427702755,0.0142574347555637,7.12770944847374
0.0447701325174421,0.685736102983356,29.1732876377821
0.623477303655818,0.51770455413498,68.9894863099037
0.884349265135825,0.646684108301997,14.6334999450696
0.255872737849131,0.334208582062274,89.2947214850521
0.859999279491603,0.233092422829941,160.614857850424
0.582420149352401,0.829287514090538,45.2245850170128
0.31899954774417,0.684432220412418,33.7798883004256
0.176427172496915,0.936416106764227,18.0775931250507
0.63915056316182,0.793432056438178,59.8059274627946
0.666969073470682,0.611206391360611,48.3993351834542
0.0968730933964252,0.396684993291274,170.280642889465
0.741411023307592,0.811382397310808,4.01106854441858
0.241244609700516,0.478472990915179,62.3802556751774
0.913352645933628,0.537290554028004,53.771708008317
0.658886859426275,0.315904590999708,91.3682941509482
0.428131747525185,0.754988714121282,0.398356667159817
0.653572314186022,0.441923590144143,31.5092546833117
0.588989033130929,0.20096442475915,139.34363735103
0.382112725870684,0.829962711082771,3.9208391324642
0.996802993817255,0.179806851083413,61.3091101035714
0.542664106469601,0.886292838025838,0.527099227700965
0.763348118402064,0.474738704971969,38.8012816112489
0.785964760463685,0.246284407330677,186.446569966804
0.542804879369214,0.952746875118464,-0.786688982046222
0.491361052496359,0.897386026568711,-5.7059815372656
0.38792575080879,0.849437389988452,2.45135272574112
0.316842675209045,0.0132378598209471,18.9916465502725
0.707759536802769,0.463766193250194,27.4330087108382
0.654441138263792,0.612802559742704,63.7778175263143
0.580217728856951,0.653624429367483,164.273234700804
0.54796140640974,0.869795485865325,8.40991077273119
0.828176564536989,0.317499539349228,181.666756498962
0.2198747897055,0.510841885115951,57.337516200769
0.842417488107458,0.42632386344485,111.332782285488
0.695182264782488,0.301106942584738,130.430507337736
0.901056776987389,0.846851401496679,2.95111158386417
0.888416906818748,0.395173308206722,159.200834130892
0.250227574026212,0.667146667605266,69.6553153680695
0.402556546730921,0.947242544963956,1.25972033796359
0.557273091049865,0.119923636550084,114.00842664097
0.371810329845175,0.688926239963621,11.5893384291546
0.914581985911354,0.382605923805386,175.12805864459
0.371353395050392,0.260750530753285,58.5416137804906
0.513543405337259,0.628718645777553,179.384161865312
0.00790153630077839,0.378942142939195,182.948581304603
0.843333695549518,0.736513475421816,5.42631487293927
0.151023782324046,0.514778518583626,67.5314401543701
0.0122277927584946,0.0243798615410924,15.9196210186457
0.674646573141217,0.922725094482303,1.67778853560907
0.938819970469922,0.860000020358711,4.5507677249892
0.207775030750781,0.349261746043339,102.784638142589
0.757751167984679,0.869393751490861,4.98585186926432
0.845615551108494,0.726751982234418,6.05632382499275
0.168441145680845,0.879693074617535,21.3175475624065
0.354598629521206,0.386549243004993,115.020260226564
0.532345643732697,0.222603309433907,100.911412315716
0.604639133205637,0.444568698527291,51.8805439068424
0.395077859750018,0.789467454655096,-2.48803100794922
0.380047853337601,0.202022370882332,45.0704253157257
0.37997802789323,0.480423651635647,195.427850850361
0.524844056693837,0.876048165839165,1.62640891785324
0.634789399569854,0.98747987113893,7.89603970717861
0.575734023470432,0.334586887154728,47.4053137112851
0.861829278757796,0.612094637006521,18.6414284758696
0.582103545544669,0.737005418166518,134.308360549936
0.950551209272817,0.368398457765579,182.458168426276
0.1301311890129,0.779566056095064,19.1125771249712
0.955815832130611,0.547564522130415,53.6800584635481
0.415184996789321,0.41957156942226,152.705649314331
0.631783647229895,0.98759292345494,7.86558851535769
0.956822172971442,0.146406941115856,36.0171443951102
0.801252773962915,0.86913847271353,4.72929439556516
0.413357928162441,0.473457101034001,208.061471705761
0.690481790574268,0.270798650803044,152.568164324169
0.0182696362026036,0.517770873615518,100.812916865204
0.172907692845911,0.537891838699579,61.0912184646756
0.530324532883242,0.411545358598232,84.473796810951
0.790677909739316,0.756388606037945,-0.514183226125553
0.414114119950682,0.146067841909826,65.3625733898442
0.761636122828349,0.527845930308104,19.8289572341195
0.326733854366466,0.833442541304976,20.4363690428402
0.820038594072685,0.95692810183391,2.60582234753925
0.873681389959529,0.866777160670608,2.14567919629361
0.764280380215496,0.529524003155529,19.9532811699793
0.960261395899579,0.00492237112484872,22.0729019070281
0.546929573873058,0.746122508775443,118.718861294424
0.609426879091188,0.331635461188853,54.7484727428714
0.805561017710716,0.974934780504555,4.53554019070156
0.808816967764869,0.636320164427161,8.27762626890112
0.178989125648513,0.789173709927127,27.2490379102743
0.0827224063687027,0.919515396934003,15.8166789124429
0.464920170139521,0.30922636995092,64.4017549396891
0.19501866074279,0.593601869652048,75.9783243863755
0.134554690914229,0.62138450006023,65.2820718429989
0.23860648390837,0.620545109268278,82.1669373139619
0.680908862268552,0.779042928246781,34.2912526458311
0.657326696207747,0.744514295598492,67.5192417033455
0.0162077420391142,0.973548243287951,5.38317676313374
0.368522919947281,0.279091670643538,66.4045227879521
0.125581941800192,0.245437374338508,82.3491164981356
0.99095700122416,0.714406769257039,15.7104351585096
0.459194569848478,0.134586223401129,90.6579227725228
0.457222020020708,0.370743407635018,94.6139019053413
0.634473058162257,0.633193273097277,96.281045400628
0.136803021654487,0.608572049066424,66.8328955351078
0.968047036789358,0.123110282002017,20.1710168914494
0.264329944970086,0.802632591687143,35.4898063654617
0.639221496647224,0.927121762186289,-0.909027025108131
0.730299675604329,0.938075084006414,5.47811664821201
0.953751412918791,0.793834925163537,8.02695093705151
0.619241563370451,0.745143653824925,107.728283073657
0.471545889275149,0.601119184633717,183.450165508464
0.55368703790009,0.729793230770156,135.792322068346
0.0920783509500325,0.120773883769289,39.4251528025789
0.877713709836826,0.997526135761291,5.09696952522025
0.134483847534284,0.0635414014104754,12.6884948361334
0.95836589159444,0.880603393772617,6.61341830127174
0.687465819064528,0.56360532483086,24.5144460082217
0.0209167106077075,0.915942195802927,4.04944137696954
0.0419752039015293,0.0929721544962376,46.6018651007147
0.835409452673048,0.775679905666038,4.04187370655294
0.33584618056193,0.942709797527641,-0.35862627627268
0.28285624855198,0.188246095785871,23.3891777036167
0.828980376012623,0.601567452307791,16.6217549377117
0.552729230141267,0.40379405207932,64.1198050392654
0.863690594444051,0.126476100180298,29.1308644143305
0.940600038506091,0.0372973475605249,8.46335939589668
0.41801710263826,0.347487241728231,91.9316168619006
0.241811859654263,0.766432988457382,42.1799063941349
0.396105993306264,0.972517288988456,4.61117520196643
0.0686185769736767,0.352117323782295,178.413322061741
0.447849589632824,0.866590647958219,-5.31263861059158
0.893299430375919,0.8969611604698,0.357494043648302
0.559257472632453,0.70530615770258,153.831564670164
0.0973520311526954,0.234658880392089,91.5949038538913
0.971993442857638,0.351592195220292,180.472979176217
0.848319605458528,0.160064298659563,73.4813014289517
0.940193239366636,0.168389137368649,59.1110403653955
0.205962055362761,0.142212925711647,13.7877321232411
0.549681522650644,0.640857598977163,179.610947710235
0.904098642757162,0.204375040251762,112.380495391389
0.32694011926651,0.586191922193393,109.257219931898
0.931256841635332,0.369472796563059,183.230949507627
0.968299934873357,0.217554968083277,105.720787760881
0.434514854801819,0.570881165796891,199.940553907615
0.593049274524674,0.163863576250151,142.473537250407
0.8476323033683,0.0378051036968827,1.2150812183293
0.358141359873116,0.410704728681594,130.954334480118
0.436865757685155,0.210204851580784,65.1366532383294
0.0347194424830377,0.00237554730847478,6.28845331498414
0.214215353131294,0.828904784983024,27.3598731386186
0.284069732064381,0.891578321577981,11.4391273026974
0.573733066907153,0.323839658871293,50.675628381118
0.753947118762881,0.712512606056407,-1.62153011840692
0.889507518382743,0.14777542068623,46.6556896990773
0.293653338914737,0.920644886326045,3.59248838756442
0.828020837856457,0.270023714518175,189.18771106039
0.638193600578234,0.688956082100049,99.6456428944073
0.595086246961728,0.204749950440601,140.210910718907
0.649155710358173,0.587876702193171,64.0505650262601
0.648823650320992,0.0229083243757486,1.85445395906205
0.675699464976788,0.1444736730773,115.931556036238
0.484406350646168,0.590472936630249,201.044151441323
0.0828102442901582,0.749818373005837,18.0473983909689
0.220836820546538,0.465782796964049,58.7148505079123
0.189039382617921,0.495654052123427,56.7560424832841
0.920699071837589,0.289863141952083,183.629115714249
0.551186111755669,0.477552933152765,125.269374710272
0.924467058153823,0.304262489080429,188.15548921627
0.982223305152729,0.108878444414586,15.4572831996877
0.0743178501725197,0.422951538814232,172.967247372676
0.774390604346991,0.937595978146419,5.20995456583253
0.511493634432554,0.241101690800861,80.7040385973544
0.870547865750268,0.764109262963757,5.85850551666523
0.43625952466391,0.372099047759548,103.391041113494
0.979549201903865,0.857409819262102,11.013560530066
0.10012948163785,0.495408030692488,104.68350978342
0.537647858029231,0.790410437388346,70.4693110924802
0.0165747159626335,0.861396404681727,5.87185823490798
0.472630382282659,0.779363496229053,23.496192849301
0.557979342993349,0.50753422267735,143.049726673734
0.566202459856868,0.510356514016166,134.722132455828
0.335614964365959,0.643383804475889,54.325356507365
0.0882557376753539,0.202561274869367,78.8654758007672
0.436853176914155,0.314341496210545,72.1649114610686
0.409810263896361,0.96663005836308,4.38887878780705
0.17532244650647,0.480304738972336,65.3556089833814
0.742627843981609,0.968094320269302,7.23908216938541
0.583702896721661,0.255610237596557,98.8626575652908
0.45191702246666,0.841522469650954,-2.95658898805558
0.442481921520084,0.680513073457405,51.497319540704
0.164588679792359,0.0578305702656507,11.4679193636778
0.541186338057742,0.71646201913245,138.082194887043
0.487262623151764,0.815699412254617,16.7736761354422
0.703235236695036,0.747729538241401,21.3871804477801
0.403393398039043,0.348056775750592,95.025919096662
0.0734089005272835,0.81318733538501,12.434845404663
0.260293340776116,0.292580565204844,74.9960748434045
0.961579189170152,0.662507939618081,16.1177694921117
0.678918277611956,0.460150806000456,27.0792321068879
0.926928156521171,0.532522702822462,59.3159061697454
0.56758647901006,0.306744394823909,57.0459705339038
0.958828948670998,0.532463249750435,63.8610894859442
0.745534072397277,0.797551490133628,2.92670465853679
0.395978946937248,0.211941309040412,50.4455843902075
0.981243542162701,0.364084743428975,175.064623891833
0.897722187219188,0.932052104501054,-0.213910811509216
0.942409492330626,0.460762068862095,120.833446273309
0.407860688399523,0.37680850061588,113.361791402606
0.836876184912398,0.560378713300452,28.0232911708873
0.445504693314433,0.395317791029811,120.473065894173
0.387204163009301,0.488175310194492,204.576461387443
0.54342186357826,0.151170924771577,129.502668036323
0.0258371527306736,0.0135967750102282,10.1813457174347
0.257578131975606,0.533618330955505,79.9611807547795
0.434373562224209,0.172164684627205,72.552816877619
0.131503147771582,0.0194105741102248,6.59680693220152
0.804479788057506,0.568930448032916,18.8748582450794
0.782977845752612,0.70074801472947,-1.230557851798
0.364723800681531,0.616894612787291,87.5615269294639
0.135673471260816,0.0923329750075936,17.2862261629048
0.507182108704001,0.696544378530234,118.660071804431
0.889920676825568,0.81260906602256,4.37044821724439
0.440441188868135,0.139406195376068,80.4728891426138
0.369535786798224,0.438214739086106,157.727333265302
0.707015881314874,0.540084840264171,16.456955031028
0.729803521186113,0.414881084579974,55.9800215823959
0.350687805330381,0.356695139314979,100.198016787971
0.719227260909975,0.979304068023339,8.45975304575893
0.0950123707298189,0.129893732257187,41.6105736297056
0.295060034608468,0.195659384597093,26.5669403265679
0.143573669251055,0.164744791341946,30.2806176300225
0.512285286094993,0.880000172415748,-1.51115034291649
0.0456512726377696,0.967102747876197,8.88210036901468
0.325293498113751,0.937687257770449,-0.0299144121385311
0.39524336042814,0.887476144358516,-0.167149945197338
0.993433805881068,0.742555574746802,15.1013927679797
0.0693587081041187,0.621804499067366,48.3547081189091
0.590342342155054,0.546129104448482,125.593007291549
0.287062361603603,0.244534566998482,47.0679702513492
0.655368742300197,0.176965289516374,151.514765573678
0.560894776601344,0.950962981209159,-1.50269041330485
0.459257015725598,0.415562466019765,135.95579045057
0.806090613128617,0.256679355865344,187.929739779773
0.107134650927037,0.931741334730759,19.420922853153
0.799209038726985,0.239047724753618,181.588196336462
0.319669517455623,0.680541700217873,35.0828412694274
0.172919512726367,0.455859979381785,77.9411236358207
0.460116813424975,0.836597381392494,-0.791309666593584
0.643727066693828,0.705652603181079,91.7106177376366
0.00261948560364544,0.0309877146501094,20.3674673009965
0.270273725502193,0.938424290390685,2.72539830773378
0.434240337228402,0.479828670155257,215.612088900645
0.222586850170046,0.204411750193685,26.8035635645268
0.652617091313004,0.992490818258375,9.50224807867012
0.0782336220145226,0.933413131628186,14.8056073455805
0.452265221625566,0.509138910332695,231.804091505594
